Question ID,Title,Resolution,default (BT7) Forecast,default (BT8) Forecast,gemini-2 (BT10) Forecast,gemini-3-flash-preview (BT10) Forecast,gemini-3-thinking (BT11) Forecast,glm-4 (BT9) Forecast,grok-4 (BT9) Forecast,grok-code-fast-1 (BT9) Forecast,mimo-v2-flash (BT9) Forecast,minimax-m2 (BT9) Forecast,default (BT7) Peer Score,default (BT8) Peer Score,gemini-2 (BT10) Peer Score,gemini-3-flash-preview (BT10) Peer Score,gemini-3-thinking (BT11) Peer Score,glm-4 (BT9) Peer Score,grok-4 (BT9) Peer Score,grok-code-fast-1 (BT9) Peer Score,mimo-v2-flash (BT9) Peer Score,minimax-m2 (BT9) Peer Score
39010,What will be the ending value of the UST 10Y Yield for the following biweekly periods? (Sep 15 - Sep 26),4.2,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,0.19,-37.91,-52.30,-52.30,-41.14,-63.45,-72.57,-52.30,-52.30,42.56
39011,What will be the ending value of the ICE BofA US High Yield Option-Adjusted Spread for the following biweekly periods? (Sep 15 - Sep 26),2.75,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,-38.72,-37.52,14.97,-39.96,-39.96,-5.30,-30.84,-39.96,-54.34,-215.29
39176,What will the winning time be in the Women's 100 meter final at the 2025 World Athletics Championships?,10.61,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,-11.21,-11.21,-181.27,3.17,23.44,-11.21,3.17,37.83,-183.31,-22.37
39503,How much will Nvidia's stock price returns exceed Microsoft's in the following biweekly periods of Q3 2025? (Sep 29 - Oct 10),2.887,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,-4.46,-4.46,-4.46,0.39,-9.23,35.46,6.69,30.19,21.08,17.07
39514,"What will be the maximum intraday value of the VIX over the following biweekly periods in Q3, 2025? (Sep 29 - Oct 10)",22.44,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,9.44,26.26,-238.65,23.04,7.11,0.72,0.72,11.88,11.88,11.88
39590,What will be the ending value of the UST 10Y Yield for these biweekly periods of Q4 2025? (Oct 13 - Oct 24),4.02,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,-8.33,7.59,-38.22,-201.13,-32.95,-23.84,-23.84,-3.57,-38.22,14.27
39595,How much will Gold Futures total price returns exceed S&P 500 Futures's in these biweekly periods of Q4 2025? (Oct 13 - Oct 24),0.0702,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,27.35,-11.31,1.80,1.80,-7.31,12.96,-44.01,36.46,110.26,36.46
39789,What will the first reported earnings per share after September 2025 be for the following companies? (MSFT),3.72,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,13.67,13.67,-28.69,-20.98,-11.87,48.33,-0.71,-16.63,-11.87,56.04
39911,What will be the ending value of the ICE BofA US High Yield Option-Adjusted Spread for these biweekly periods of Q4 2025? (Oct 27 - Nov 7),3.15,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,59.31,52.63,30.32,78.18,43.52,27.09,21.20,-59.27,-4.34,41.48
39916,How much will Crude Oil Futures total price returns exceed S&P 500 Futures's in these biweekly periods of Q4 2025? (Oct 27 - Nov 7),-1.773,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,-3.69,-8.96,-8.96,2.20,2.20,25.70,-63.89,25.70,5.42,-8.96
40089,What will be the ending value of the UST 10Y Yield for these biweekly periods of Q4 2025? (Nov 10 - Nov 21),4.06,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,-13.53,-24.69,6.74,-225.96,12.01,32.28,-2.38,-136.94,21.12,-13.53
40094,How much will Nasdaq-100 Futures total price returns exceed S&P 500 Futures's in these biweekly periods of Q4 2025? (Nov 10 - Nov 21),-1.444,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,-175.80,12.00,6.73,17.89,17.89,12.00,17.89,13.12,17.89,6.73
40164,What will be NVIDIA's forward guidance in their Q3 FY2026 earnings release? (GAAP Operating Expenses),6700000000.0,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,-210.43,-210.43,-227.25,-227.25,-227.25,-210.43,-210.43,-210.43,-210.43,-210.43
40218,What will be the maximum intraday value of the VIX over these biweekly periods in Q4 2025? (Nov 24 - Dec 5),23.68,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,-10.71,-65.02,-30.36,-0.47,-41.52,4.29,-15.98,-15.98,-6.86,-15.98
40221,How much will Gold Futures total price returns exceed S&P 500 Futures's in these biweekly periods of Q4 2025? (Nov 24 - Dec 5),-0.5562,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,212.96,-16.58,-5.04,14.86,-19.80,-7.46,-30.96,3.70,-30.96,-42.12
40627,"What will be Donald Trump's approval rating be on December 14, 2025?",42.8,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,-32.02,-84.23,-170.36,-21.99,-73.07,2.64,-5.71,7.40,-84.23,-9.42
