Question ID,Title,Resolution,default (BT7) Forecast,default (BT8) Forecast,gemini-2 (BT10) Forecast,gemini-3-flash-preview (BT10) Forecast,gemini-3-thinking (BT11) Forecast,glm-4 (BT9) Forecast,grok-4 (BT9) Forecast,grok-code-fast-1 (BT9) Forecast,mimo-v2-flash (BT9) Forecast,minimax-m2 (BT9) Forecast,default (BT7) Peer Score,default (BT8) Peer Score,gemini-2 (BT10) Peer Score,gemini-3-flash-preview (BT10) Peer Score,gemini-3-thinking (BT11) Peer Score,glm-4 (BT9) Peer Score,grok-4 (BT9) Peer Score,grok-code-fast-1 (BT9) Peer Score,mimo-v2-flash (BT9) Peer Score,minimax-m2 (BT9) Peer Score
38965,Will Boris Johnson return as the leader of the UK Conservative Party before 2026?,0,1.0%,1.0%,1.0%,4.0%,2.0%,1.0%,1.0%,1.0%,5.0%,1.0%,4.12,4.12,4.12,1.05,3.11,4.12,4.12,4.12,0.00,4.12
38980,Will Bud Light cease production by 2026?,0,1.0%,1.0%,10.0%,3.0%,2.0%,1.0%,2.0%,1.0%,5.0%,2.0%,4.12,4.12,-5.41,2.08,3.11,4.12,3.11,4.12,0.00,3.11
38990,"Will the Nonlinear Fund have more than eight full-time equivalent employees on January 1, 2026?",0,18.0%,12.0%,58.0%,12.0%,8.0%,15.0%,4.0%,3.0%,45.0%,75.0%,8.92,15.98,-57.98,15.98,20.43,12.52,24.69,25.72,-31.02,-109.86
39001,"Will Russia test a nuclear device before January 1, 2026?",0,2.0%,2.0%,3.0%,1.0%,4.0%,1.0%,1.0%,5.0%,28.0%,1.0%,14.23,14.23,13.21,15.25,12.17,15.25,15.25,11.12,-16.60,15.25
39102,Which states will Pope Leo XIV visit in 2025? (Turkiye),1,96.0%,95.0%,1.0%,96.0%,91.0%,N/A,85.0%,75.0%,92.0%,1.0%,20.28,19.24,-436.15,20.28,14.94,N/A,8.11,-4.40,16.03,-436.15
39103,Will the United States attack Venezuela before 2026?,1,65.0%,72.0%,1.0%,12.0%,91.0%,1.0%,3.0%,15.0%,1.0%,5.0%,127.30,137.52,-290.14,-41.65,160.94,-290.14,-180.28,-19.34,-290.14,-129.20
39504,Will Alassane Ouattara win 80% or more of the first round vote in the 2025 presidential election of Ivory Coast (Côte d'Ivoire)?,1,72.0%,78.0%,70.0%,88.0%,68.0%,86.0%,82.0%,80.0%,95.0%,40.0%,2.82,10.82,0.00,22.88,-2.90,20.59,15.82,13.35,30.54,-55.96
39513,Who will be the next non-caretaker prime minister of Nepal? (Balendra Shah),0,18.0%,12.0%,3.0%,12.0%,8.0%,1.0%,1.0%,30.0%,75.0%,15.0%,-14.72,-7.65,2.08,-7.65,-3.21,4.12,4.12,-30.54,-133.50,-11.12
39566,Will there be a stronger hurricane than Erin during the 2025 Atlantic hurricane season?,1,28.0%,45.0%,1.0%,12.0%,28.0%,3.0%,1.0%,12.0%,65.0%,35.0%,11.33,58.78,-321.89,-73.40,11.33,-212.03,-321.89,-73.40,95.55,33.65
39787,Will the following companies be added to the S&P 500 before 2026? (ARES),1,1.0%,8.0%,3.0%,18.0%,8.0%,1.0%,1.0%,1.0%,5.0%,3.0%,-321.89,-113.94,-212.03,-32.85,-113.94,-321.89,-321.89,-321.89,-160.94,-212.03
39837,"Will Ukraine extend martial law beyond November 5, 2025?",1,98.0%,98.0%,99.0%,99.0%,98.0%,97.0%,1.0%,90.0%,98.0%,93.0%,8.52,8.52,9.53,9.53,8.52,7.49,-449.98,0.00,8.52,3.28
40083,"Will the US national debt be under $38.5 trillion on December 31, 2025?",0,12.0%,3.0%,97.0%,6.0%,24.0%,75.0%,4.0%,1.0%,98.0%,85.0%,3.32,13.06,-334.55,9.92,-11.34,-122.52,12.02,15.10,-375.10,-173.61
40168,"Will the US government shutdown end before November 21, 2025?",1,88.0%,82.0%,68.0%,88.0%,92.0%,93.0%,1.0%,70.0%,65.0%,87.0%,30.29,23.23,4.51,30.29,34.74,35.82,-417.44,7.41,0.00,29.15
40300,Will the United States conduct a military attack within Nigeria before 2026?,1,5.0%,3.0%,1.0%,1.0%,2.0%,1.0%,3.0%,6.0%,2.0%,1.0%,-87.55,-138.63,-248.49,-248.49,-179.18,-248.49,-138.63,-69.31,-179.18,-248.49
40414,Will Iran announce an evacuation of Tehran before 2026?,0,1.0%,3.0%,1.0%,4.0%,4.0%,1.0%,1.0%,1.0%,3.0%,2.0%,9.53,7.49,9.53,6.45,6.45,9.53,9.53,9.53,7.49,8.52
40626,"Will Iran announce a new capital location before January 3, 2026?",0,12.0%,3.0%,1.0%,2.0%,5.0%,1.0%,1.0%,1.0%,10.0%,82.0%,3.47,13.21,15.25,14.23,11.12,15.25,15.25,15.25,5.72,-155.23
40641,Will a sixth contentious case be opened at the International Court of Justice in 2025?,0,18.0%,15.0%,1.0%,18.0%,6.0%,5.0%,1.0%,1.0%,5.0%,20.0%,2.47,6.06,21.31,2.47,16.13,17.19,21.31,21.31,17.19,0.00
AVERAGE,,,,,,,,,,,,,-10.20,4.48,-107.48,-14.92,-0.45,-65.57,-99.81,-23.05,-59.14,-84.39
